resTime,skill_query,query,globalId,code,parameters_msg,results,Text,返回Json
90ms,指尖查词,帮我查询这个字,1010193971920210172,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920210172"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
107ms,指尖查词,这个字的意思是什么,1010193971920410177,1000722,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920410177"",""intent"":{""code"":1000722,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
108ms,指尖查词,这个字的释义是什么,1010193971920310173,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920310173"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
117ms,指尖查词,这个字的读音,1010193971920610146,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920610146"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
122ms,指尖查词,这个字的解释是什么,1010193971920510142,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920510142"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
123ms,指尖查词,这个字是啥意思,1010193971920510178,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920510178"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
123ms,指尖查词,这个字怎么读,1010193971920410176,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920410176"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
131ms,指尖查词,给我查这个字,1010193971920310174,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920310174"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
142ms,指尖查词,指尖查字,1010193971920810149,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920810149"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
53ms,指尖查词,怎么读这个字,1010193971925910219,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971925910219"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
144ms,指尖查词,给我查询这个字,1010193971920610148,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920610148"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
147ms,指尖查词,这个字的意思,1010193971920610147,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920610147"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
152ms,指尖查词,这个字的读法,1010193971920510143,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920510143"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
152ms,指尖查词,这个字怎么念,1010193971920310175,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920310175"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
46ms,指尖查词,帮我念这个字,1010193971928510239,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971928510239"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
57ms,指尖查词,帮我读这个字,1010193971928010199,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971928010199"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
179ms,指尖查词,这个字什么意思,1010193971920610144,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920610144"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
180ms,指尖查词,给我查一下这个字,1010193971920110170,1000720,"{""intentType"":1,""queryType"":""1""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971920110170"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""1""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
78ms,指尖查词,怎么念这个字,1010193971927510227,1000720,"{""intentType"":1,""queryType"":""2""}","[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]",好的,"{""globalId"":""1010193971927510227"",""intent"":{""code"":1000720,""operateState"":1010,""parameters"":{""intentType"":1,""queryType"":""2""}},""results"":[{""groupType"":0,""resultType"":""text"",""values"":{""text"":""好的""}}]}"
